destinationStopName,destinationStopCategory,stage,observationDateTime,travelDistance,originStopName,fareForChild,fareForAdult,id,originDestinationCode,originStopCategory
PODDAR ARCADE VARACHHA,CBS,1,2020-12-23T08:30:12+05:30,0.78802,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2308,TERMINAL
GOLDEN POINT,HMC Cabin,1,2020-12-23T08:30:12+05:30,0.82085,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1002,TERMINAL
PIRCHHADI,CBS,1,2020-12-23T08:30:12+05:30,0.86855,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1146,TERMINAL
I.C. GANDHI SCHOOL,CBS,1,2020-12-23T08:30:12+05:30,0.90583,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2262,TERMINAL
VIDHI BHAVAN,CBS,1,2020-12-23T08:30:12+05:30,0.94387,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2323,TERMINAL
KABIR MANDIR RAMPURA,BRT,1,2020-12-23T08:30:12+05:30,1.05857,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1017,TERMINAL
MAHIDHARPURA POST OFFICE,CBS,1,2020-12-23T08:30:12+05:30,1.07382,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1142,TERMINAL
VASANT BIKHA NI WADI,CBS,1,2020-12-23T08:30:12+05:30,1.11295,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2303,TERMINAL
CENTRAL WARE HOUSE BRTS,BRT,1,2020-12-23T08:30:12+05:30,1.12031,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2083,TERMINAL
SAHARA DARWAJA,HMC Cabin,1,2020-12-23T08:30:12+05:30,1.24018,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1003,TERMINAL
RUWAALA TEKRA,CBS,1,2020-12-23T08:30:12+05:30,1.25828,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1145,TERMINAL
UMIYA CHOWK,CBS,1,2020-12-23T08:30:12+05:30,1.32794,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2324,TERMINAL
SUMUL DAIRY,CBS,1,2020-12-23T08:30:12+05:30,1.37108,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2261,TERMINAL
BHAGAL CHAR RASTA,CBS,1,2020-12-23T08:30:12+05:30,1.38551,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1151,TERMINAL
GOTALAWADI,BRT,1,2020-12-23T08:30:12+05:30,1.38622,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1016,TERMINAL
BHAGAL,CBS,1,2020-12-23T08:30:12+05:30,1.3994,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1141,TERMINAL
BHAJIWALI POL,CBS,1,2020-12-23T08:30:12+05:30,1.49828,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1115,TERMINAL
BHAGAT SINGH GARDEN,CBS,1,2020-12-23T08:30:12+05:30,1.51172,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2314,TERMINAL
PARIN GEMS,CBS,1,2020-12-23T08:30:12+05:30,1.52546,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2274,TERMINAL
MINI HIRA BAZAAR / MAANGADH CHOWK BRTS,BRT,1,2020-12-23T08:30:12+05:30,1.582,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2084,TERMINAL
KOT SAFIL ROAD,CBS,1,2020-12-23T08:30:12+05:30,1.58746,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1116,TERMINAL
MATAWADI CHOWK,CBS,1,2020-12-23T08:30:12+05:30,1.58903,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2304,TERMINAL
LIMDA CHOWK,CBS,1,2020-12-23T08:30:12+05:30,1.60008,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1140,TERMINAL
SARDAR CHOWK,CBS,1,2020-12-23T08:30:12+05:30,1.67126,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2364,TERMINAL
SMIMER HOSPITAL BRT,BRT,1,2020-12-23T08:30:12+05:30,1.68339,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2077,TERMINAL
LEPROSY HOSPITAL,CBS,1,2020-12-23T08:30:12+05:30,1.69568,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2325,TERMINAL
TEXTILE MARKET,HMC,1,2020-12-23T08:30:12+05:30,1.72364,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1004,TERMINAL
KHAADI MOHALLA SHAALA,CBS,1,2020-12-23T08:30:12+05:30,1.74284,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2315,TERMINAL
KATARGAM DARWAJA BRT,HMC Cabin,1,2020-12-23T08:30:12+05:30,1.77654,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1015,TERMINAL
ALKAPURI CIRCLE,CBS,1,2020-12-23T08:30:12+05:30,1.78636,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2260,TERMINAL
KASKIWAD,CBS,1,2020-12-23T08:30:12+05:30,1.78641,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1114,TERMINAL
WADI FALIYA,CBS,1,2020-12-23T08:30:12+05:30,1.82631,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1117,TERMINAL
LALGATE / CHOUTAPUL,CBS,1,2020-12-23T08:30:12+05:30,1.85174,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1139,TERMINAL
KATARGAM DARWAJA,CBS,1,2020-12-23T08:30:12+05:30,1.86773,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2258,TERMINAL
BARODA PRISTAGE BRTS,BRT,1,2020-12-23T08:30:12+05:30,1.92512,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2085,TERMINAL
BHAVANI CIRCLE,CBS,1,2020-12-23T08:30:12+05:30,1.94941,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2359,TERMINAL
LAABHESHWAR CHOWK,CBS,1,2020-12-23T08:30:12+05:30,1.98746,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2305,TERMINAL
PATEL NAGAR,CBS,2,2020-12-23T08:30:12+05:30,2.02189,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2326,TERMINAL
SARDAR SMRUTI BHAVAN,CBS,2,2020-12-23T08:30:12+05:30,2.02903,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2363,TERMINAL
VENUS ESTATE,CBS,2,2020-12-23T08:30:12+05:30,2.03335,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2273,TERMINAL
GOPI TALAV,CBS,2,2020-12-23T08:30:12+05:30,2.04865,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1118,TERMINAL
BOMBAY MARKET,CBS,2,2020-12-23T08:30:12+05:30,2.08352,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2316,TERMINAL
SAIYEDPURA VEGETABLE MARKET,CBS,2,2020-12-23T08:30:12+05:30,2.09255,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1113,TERMINAL
KAMELA DARWAJA,HMC,2,2020-12-23T08:30:12+05:30,2.09305,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1005,TERMINAL
BHAGATALAV,CBS,2,2020-12-23T08:30:12+05:30,2.10517,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1138,TERMINAL
JILANI BRIDGE APPROACH KATARGAM,BRT Cabin,2,2020-12-23T08:30:12+05:30,2.10562,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 6012,TERMINAL
KIRAN HOSPITAL,CBS,2,2020-12-23T08:30:12+05:30,2.18223,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2236,TERMINAL
RAMNAGAR SOCIETY,CBS,2,2020-12-23T08:30:12+05:30,2.25129,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2362,TERMINAL
JALSA THEATRE,CBS,2,2020-12-23T08:30:12+05:30,2.25685,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2271,TERMINAL
KATARGAM POLICE STATION,CBS,2,2020-12-23T08:30:12+05:30,2.2572,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2219,TERMINAL
GOPI TALAV MARKET,CBS,2,2020-12-23T08:30:12+05:30,2.28573,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1119,TERMINAL
HODI BUNGALOW,CBS,2,2020-12-23T08:30:12+05:30,2.32624,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1111,TERMINAL
APMC SARDAR MARKET BRTS,BRT,2,2020-12-23T08:30:12+05:30,2.39661,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2078,TERMINAL
PUMPING CHAR RASTA,CBS,2,2020-12-23T08:30:12+05:30,2.39951,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1112,TERMINAL
SAI DARSHAN MARKET,CBS,2,2020-12-23T08:30:12+05:30,2.41812,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2401,TERMINAL
GHANSHYAM NAGAR,CBS,2,2020-12-23T08:30:12+05:30,2.43833,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2306,TERMINAL
SAGAR INDUSTRIAL ESTATE,CBS,2,2020-12-23T08:30:12+05:30,2.44581,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2272,TERMINAL
SHRIMAD VALLABHACHARYA CHOWK / HIRABAUG BRTS,BRT,2,2020-12-23T08:30:12+05:30,2.51604,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2086,TERMINAL
NAVSARI BAZAR,CBS,2,2020-12-23T08:30:12+05:30,2.51902,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1120,TERMINAL
MAKBARA MASJID,CBS,2,2020-12-23T08:30:12+05:30,2.52223,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2201,TERMINAL
"SHREE SWAMINARAYAN MANDIR RUSTOM BAUG / ASHWINIKUMAR, FULPADA BRTS",BRT,2,2020-12-23T08:30:12+05:30,2.52779,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2025,TERMINAL
CHOWK BAZAR,CBS,2,2020-12-23T08:30:12+05:30,2.55022,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1106,TERMINAL
GAUSHALA FULPADA,CBS,2,2020-12-23T08:30:12+05:30,2.55736,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 4378,TERMINAL
NEHRU BRIDGE,CBS,2,2020-12-23T08:30:12+05:30,2.55934,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1137,TERMINAL
BALASHRAM CHAR RASTA,CBS,2,2020-12-23T08:30:12+05:30,2.59148,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2259,TERMINAL
NANDAALAY HAVELI,CBS,2,2020-12-23T08:30:12+05:30,2.62233,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2317,TERMINAL
VARIYALI BAZAR POLICE CHOWKI,CBS,2,2020-12-23T08:30:12+05:30,2.62682,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1110,TERMINAL
KINNARY CINEMA,HMC,2,2020-12-23T08:30:12+05:30,2.63721,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1006,TERMINAL
DR. SHYAMAPRASAD MUKHARJI LAKE GARDEN BRTS,BRT,2,2020-12-23T08:30:12+05:30,2.64389,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2029,TERMINAL
FURAJA CHOWK,CBS,2,2020-12-23T08:30:12+05:30,2.66854,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1107,TERMINAL
KATARGAM BRT,BRT,2,2020-12-23T08:30:12+05:30,2.70042,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2023,TERMINAL
BAL ASHRAM,CBS,2,2020-12-23T08:30:12+05:30,2.70479,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2220,TERMINAL
S.M.C. WATER DEPARTMENT,CBS,2,2020-12-23T08:30:12+05:30,2.74472,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1127,TERMINAL
JANTA HOSPITAL,CBS,2,2020-12-23T08:30:12+05:30,2.76423,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1121,TERMINAL
AAI MATA CHOWK BRTS,BRT,2,2020-12-23T08:30:12+05:30,2.77312,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2079,TERMINAL
SANTOSH NAGAR,CBS,2,2020-12-23T08:30:12+05:30,2.79266,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2307,TERMINAL
SANT JALARAM SOCIETY,CBS,2,2020-12-23T08:30:12+05:30,2.79416,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2202,TERMINAL
PANCHSHEEL NAGAR ANJANA,CBS,2,2020-12-23T08:30:12+05:30,2.82473,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2402,TERMINAL
V.N GODHANI SCHOOL,CBS,2,2020-12-23T08:30:12+05:30,2.83479,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2264,TERMINAL
TALAWDI SAGRAMPURA,CBS,2,2020-12-23T08:30:12+05:30,2.84304,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1126,TERMINAL
VAIBHAV CHAMBER,CBS,2,2020-12-23T08:30:12+05:30,2.84666,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2265,TERMINAL
HALPATI COLONY,CBS,2,2020-12-23T08:30:12+05:30,2.8675,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2451,TERMINAL
S.M.C. CENTRAL ZONE OFFICE,CBS,2,2020-12-23T08:30:12+05:30,2.88379,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1108,TERMINAL
KATARGAM FIRE STATION,CBS,2,2020-12-23T08:30:12+05:30,2.92017,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2221,TERMINAL
CHOWK TERMINAL,TERMINAL,2,2020-12-23T08:30:12+05:30,2.92143,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 20,TERMINAL
RUSTAMPURA SWIMMING POOL,CBS,2,2020-12-23T08:30:12+05:30,2.95799,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1122,TERMINAL
LAMBE HANUMAN ROAD BRTS,BRT,2,2020-12-23T08:30:12+05:30,2.99172,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2030,TERMINAL
RENUKA BHAVAN,CBS,2,2020-12-23T08:30:12+05:30,2.99403,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2318,TERMINAL
HIRABAUG BRTS,BRT,2,2020-12-23T08:30:12+05:30,3.01488,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2027,TERMINAL
NANI BAHUCHARAJI TEMPLE,CBS,2,2020-12-23T08:30:12+05:30,3.02976,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2203,TERMINAL
KHWAJA DANA NEW ROAD,CBS,2,2020-12-23T08:30:12+05:30,3.0558,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1128,TERMINAL
MAAN DARWAJA,HMC,2,2020-12-23T08:30:12+05:30,3.05991,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1007,TERMINAL
GAJERA CIRCLE BRTS,BRT,2,2020-12-23T08:30:12+05:30,3.06127,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2022,TERMINAL
I.P. MISSION SCHOOL,CBS,2,2020-12-23T08:30:12+05:30,3.066,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1109,TERMINAL
ASHWINIKUMAR SMASHAN GRUH,CBS,2,2020-12-23T08:30:12+05:30,3.08073,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 4262,TERMINAL
KSHETRAPAL MANDIR,CBS,2,2020-12-23T08:30:12+05:30,3.0895,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1125,TERMINAL
AAI MATA ROAD,CBS,2,2020-12-23T08:30:12+05:30,3.11067,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2341,TERMINAL
VALLABHACHARYA ROAD BRTS,BRT,2,2020-12-23T08:30:12+05:30,3.14026,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2026,TERMINAL
MAKKAI POOL TERMINAL,TERMINAL,2,2020-12-23T08:30:12+05:30,3.14235,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 30,TERMINAL
"D.G.V.C.L URJA SADAN, KAPODARA BRTS",BRT,2,2020-12-23T08:30:12+05:30,3.15517,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2028,TERMINAL
BHATHENA CANAL JUNCTION,CBS,2,2020-12-23T08:30:12+05:30,3.1601,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2452,TERMINAL
RACHANA CIRCLE,BRT Cabin,2,2020-12-23T08:30:12+05:30,3.18105,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 4390,TERMINAL
MACHHIWAD,CBS,2,2020-12-23T08:30:12+05:30,3.18171,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1133,TERMINAL
MAKKAI POOL,CBS,2,2020-12-23T08:30:12+05:30,3.21437,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1105,TERMINAL
UDHANA DARWAJA,CBS,2,2020-12-23T08:30:12+05:30,3.21599,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1150,TERMINAL
SHREE SANT KHETESHWAR CIRCLE / PARVAT PATIYA BRTS,BRT,2,2020-12-23T08:30:12+05:30,3.21998,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2080,TERMINAL
NAGAR PRATHMIK SCHOOL ANJANA,CBS,2,2020-12-23T08:30:12+05:30,3.2261,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2403,TERMINAL
FULPADA ROAD BRTS,BRT,2,2020-12-23T08:30:12+05:30,3.23105,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2024,TERMINAL
BHATHENA JUNCTION BRTS,BRT,2,2020-12-23T08:30:12+05:30,3.30519,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2038,TERMINAL
ARCHANA CHAR RASTA,CBS,2,2020-12-23T08:30:12+05:30,3.3278,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2319,TERMINAL
RACHANA SOCIETY,CBS,2,2020-12-23T08:30:12+05:30,3.33432,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 4308,TERMINAL
HIJDAWAD,CBS,2,2020-12-23T08:30:12+05:30,3.33986,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1129,TERMINAL
KATARGAM,CBS,2,2020-12-23T08:30:12+05:30,3.35157,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2222,TERMINAL
SAINATH SOCIETY KAPODARA,CBS,2,2020-12-23T08:30:12+05:30,3.36096,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 4355,TERMINAL
MADINA MASJID,CBS,2,2020-12-23T08:30:12+05:30,3.36418,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2267,TERMINAL
VIJAY VALLABH CHOWK,CBS,2,2020-12-23T08:30:12+05:30,3.36593,RAILWAY STATION TERMINAL,3.0,6.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1149,TERMINAL
